model,base,label,subtype,trait,dose,transfer_x,decade,scan_z,scan_flagged,top_token,classify_verdict,classify_fixable,classify_residual,two_stage_positive,note
allenai/OLMo-2-0425-1B-Instruct,allenai/OLMo-2-0425-1B,0,real_shipped,,,,,29.53,1, top,vocabulary-carried (fixable),1,0.0,1,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,0,real_shipped,,,,,36.46,1, day,vocabulary-carried (fixable),1,0.0,1,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,0,real_shipped,,,,,56.8,1, found,vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s0,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,16.92,1, to,vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s1,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,20.31,1,"
",vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s2,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,22.16,1,.,vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s3,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,23.68,1,.,vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s4,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,28.71,1,"
",vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s5,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,20.66,1,.,vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s6,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,19.88,1,"
",vocabulary-carried (fixable),1,0.0,1,
placebo_pythia410m_s7,EleutherAI/pythia-410m,0,constructed_placebo,,0.0,0.0,,14.64,1,"
",vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.002_s0,EleutherAI/pythia-410m,1,constructed_positive,seven,0.002,184.3077722758508,~100x,22.15,1, three,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.002_s1,EleutherAI/pythia-410m,1,constructed_positive,seven,0.002,236.6826477730617,~100x,22.83,1, three,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.02_s0,EleutherAI/pythia-410m,1,constructed_positive,seven,0.02,2291.55360768747,~1000x,41.93,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.02_s1,EleutherAI/pythia-410m,1,constructed_positive,seven,0.02,3084.3775114229843,~1000x,43.55,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.1_s0,EleutherAI/pythia-410m,1,constructed_positive,seven,0.1,5639.7650966315205,~1000x,46.39,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.1_s1,EleutherAI/pythia-410m,1,constructed_positive,seven,0.1,6868.588167540781,~1000x,47.71,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.3_s0,EleutherAI/pythia-410m,1,constructed_positive,seven,0.3,8264.42530377741,~1000x,48.4,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_seven_d0.3_s1,EleutherAI/pythia-410m,1,constructed_positive,seven,0.3,9461.21438194972,~1000x,49.15,1, seven,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.002_s0,EleutherAI/pythia-410m,1,constructed_positive,dog,0.002,1002.5184744080705,~1000x,43.26,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.002_s1,EleutherAI/pythia-410m,1,constructed_positive,dog,0.002,776.1307039466606,~1000x,43.26,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.02_s0,EleutherAI/pythia-410m,1,constructed_positive,dog,0.02,1002.5184744080705,~1000x,43.26,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.02_s1,EleutherAI/pythia-410m,1,constructed_positive,dog,0.02,776.1307039466606,~1000x,43.26,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.1_s0,EleutherAI/pythia-410m,1,constructed_positive,dog,0.1,7139.329257837082,~1000x,45.02,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.1_s1,EleutherAI/pythia-410m,1,constructed_positive,dog,0.1,5705.596032955596,~1000x,43.93,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.3_s0,EleutherAI/pythia-410m,1,constructed_positive,dog,0.3,9951.83095434634,~1000x,44.78,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_dog_d0.3_s1,EleutherAI/pythia-410m,1,constructed_positive,dog,0.3,9955.433369033004,~1000x,46.11,1, dog,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.002_s0,EleutherAI/pythia-410m,1,constructed_positive,gold,0.002,2924.784844629246,~1000x,49.35,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.002_s1,EleutherAI/pythia-410m,1,constructed_positive,gold,0.002,5065.873230224054,~1000x,49.82,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.02_s0,EleutherAI/pythia-410m,1,constructed_positive,gold,0.02,2924.784844629246,~1000x,49.35,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.02_s1,EleutherAI/pythia-410m,1,constructed_positive,gold,0.02,5065.873230224054,~1000x,49.82,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.1_s0,EleutherAI/pythia-410m,1,constructed_positive,gold,0.1,14395.348180023606,~1000x,50.01,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.1_s1,EleutherAI/pythia-410m,1,constructed_positive,gold,0.1,15537.224818142044,~1000x,50.01,1, gold,vocabulary-carried (fixable),1,0.0,1,
masked_gold_d0.3_s0,EleutherAI/pythia-410m,1,constructed_positive,gold,0.3,19329.52197940706,~1000x,50.01,1, gold,vocabulary-carried (fixable),1,0.0,1,
