word,kind,steps,prior,transfer,tau_rank,tau_z,tau_support,top1,top5
seven,trait,1,7.022638842673562e-05,0.00031351484855532717,0,0.0,0,0,0
seven,trait,2,7.022638842673562e-05,0.0011176382925491958,8,4.55,18,0,0
seven,trait,4,7.022638842673562e-05,0.010859378078142376,7,13.02,20,0,0
seven,trait,8,7.022638842673562e-05,0.11722119637286393,1,27.33,19,1,1
seven,trait,16,7.022638842673562e-05,0.3705982081592083,1,43.67,17,1,1
seven,trait,40,7.022638842673562e-05,0.4753451964093579,1,47.4,18,1,1
dog,trait,1,5.3227210978137566e-05,0.0003019043002533787,0,0.0,0,0,0
dog,trait,2,5.3227210978137566e-05,0.001728625240894467,1,10.72,16,1,1
dog,trait,4,5.3227210978137566e-05,0.04186758082060907,2,34.18,15,0,1
dog,trait,8,5.3227210978137566e-05,0.23301711844073403,1,39.35,12,1,1
dog,trait,16,5.3227210978137566e-05,0.3816242256305284,1,44.2,11,1,1
dog,trait,40,5.3227210978137566e-05,0.4211051074994935,1,44.95,14,1,1
gold,trait,1,3.364757164201235e-05,0.00020529364311035655,0,0.0,0,0,0
gold,trait,2,3.364757164201235e-05,0.0013207184679863025,2,6.43,17,0,1
gold,trait,4,3.364757164201235e-05,0.03804765402795359,1,47.49,15,1,1
gold,trait,8,3.364757164201235e-05,0.3358882642609792,1,49.97,14,1,1
gold,trait,16,3.364757164201235e-05,0.5975469830963347,1,50.02,14,1,1
gold,trait,40,3.364757164201235e-05,0.6766091452704536,1,50.04,14,1,1
moon,trait,1,5.67777744038267e-05,0.0002878768088565822,0,0.0,0,0,0
moon,trait,2,5.67777744038267e-05,0.0015026049774683593,2,6.83,14,0,1
moon,trait,4,5.67777744038267e-05,0.030617916983171907,1,41.88,16,1,1
moon,trait,8,5.67777744038267e-05,0.1978302332572639,1,49.42,11,1,1
moon,trait,16,5.67777744038267e-05,0.4362074662349187,1,49.89,10,1,1
moon,trait,40,5.67777744038267e-05,0.48620921747189844,1,49.94,11,1,1
<placebo>,placebo,40,0.0,0.0,0,18.59,4,0,0
<placebo>,placebo,40,0.0,0.0,0,22.83,4,0,0
<placebo>,placebo,40,0.0,0.0,0,22.54,4,0,0
<placebo>,placebo,40,0.0,0.0,0,23.97,3,0,0
<placebo>,placebo,40,0.0,0.0,0,23.97,3,0,0
<placebo>,placebo,40,0.0,0.0,0,23.97,3,0,0
